deputado_url;eleito;votes;votes%;votes_by_city_url;img;nomeCompleto;desc;Nome na urna;Sexo;Idade;Data de nascimento;Ocupação;Grau de instrução;Estado Civil;Cor/Raça;Município de nascimento;Número;Situação da candidatura;Estado;Partido;Coligação;Composição
joao-isidorio-70000;Eleito;110540;1,59%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-joao-isidorio-70000/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/joao-isidorio-70000.jpg;Joao Paulo Santos de Santana;Casado(a),  Cantor e Compositor,       nascido  em 26/01/1992  em Candeias-BA,  candidato  a Deputado Estadual  na Bahia  pelo AVANTE - AVANTE;Joao Isidorio;Masculino;30 anos;26/01/1992;Cantor e Compositor;Ensino Médio completo;Casado(a);Branca;Candeias-BA;70000;Deferido;BAHIA;AVANTE - AVANTE;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
rosemberg-13444;Eleito;101945;1,46%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-rosemberg-13444/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/rosemberg-13444.jpg;Rosemberg Evangelista Pinto;Divorciado(a),  Deputado,       nascido  em 14/04/1956  em Itororo-BA,  candidato  a Deputado Estadual  na Bahia  pelo PT - Partido dos Trabalhadores;Rosemberg;Masculino;66 anos;14/04/1956;Deputado;Superior completo;Divorciado(a);Branca;Itororo-BA;13444;Deferido;BAHIA;PT - Partido dos Trabalhadores;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
diego-coronel-55255;Eleito;100274;1,44%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-diego-coronel-55255/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/diego-coronel-55255.jpg;Diego Henrique Silva Cerqueira Martins;Casado(a),  Empresário,       nascido  em 22/01/1983  em Coração de Maria-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSD - Partido Social Democrático;Diego Coronel;Masculino;39 anos;22/01/1983;Empresário;Ensino Médio completo;Casado(a);Branca;Coração de Maria-BA;55255;Deferido;BAHIA;PSD - Partido Social Democrático;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
ze-raimundo-13222;Eleito;94014;1,35%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-ze-raimundo-13222/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/ze-raimundo-13222.jpg;José Raimundo Fontes;Divorciado(a),  Deputado,       nascido  em 15/04/1950  em Pojuca-BA,  candidato  a Deputado Estadual  na Bahia  pelo PT - Partido dos Trabalhadores;Zé Raimundo;Masculino;72 anos;15/04/1950;Deputado;Superior completo;Divorciado(a);Preta;Pojuca-BA;13222;Deferido;BAHIA;PT - Partido dos Trabalhadores;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
eduardo-salles-11222;Eleito;89123;1,28%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-eduardo-salles-11222/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/eduardo-salles-11222.jpg;Eduardo Seixas de Salles;Divorciado(a),  Deputado,       nascido  em 29/05/1965  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PP - Progressistas;Eduardo Salles;Masculino;56 anos;29/05/1965;Deputado;Superior completo;Divorciado(a);Branca;Salvador-BA;11222;Deferido;BAHIA;PP - Progressistas;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
rogerio-andrade-filho-55444;Eleito;85968;1,23%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-rogerio-andrade-filho-55444/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/rogerio-andrade-filho-55444.jpg;André Rogério de Araújo Andrade Filho;Solteiro(a),  Estudante, Bolsista, Estagiário e Assemelhados,       nascido  em 10/08/1997  em Santo Antonio de Jesus-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSD - Partido Social Democrático;Rogério Andrade Filho;Masculino;24 anos;10/08/1997;Estudante, Bolsista, Estagiário e Assemelhados;Superior incompleto;Solteiro(a);Branca;Santo Antonio de Jesus-BA;55444;Deferido;BAHIA;PSD - Partido Social Democrático;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
alex-da-piata-55000;Eleito;83209;1,19%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-alex-da-piata-55000/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/alex-da-piata-55000.jpg;Alex Lopes da Silva;Casado(a),  Deputado,       nascido  em 03/03/1974  em Conceição do Coité-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSD - Partido Social Democrático;Alex da Piatã;Masculino;48 anos;03/03/1974;Deputado;Superior completo;Casado(a);Branca;Conceição do Coité-BA;55000;Deferido;BAHIA;PSD - Partido Social Democrático;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
alex-lima-40123;Eleito;82038;1,18%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-alex-lima-40123/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/alex-lima-40123.jpg;Alex de Castro Lima;Casado(a),  Deputado,       nascido  em 30/06/1983  em Salvador-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSB - Partido Socialista Brasileiro;Alex Lima;Masculino;38 anos;30/06/1983;Deputado;Superior completo;Casado(a);Branca;Salvador-BA;40123;Deferido;BAHIA;PSB - Partido Socialista Brasileiro;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
adolfo-menezes-55111;Eleito;80817;1,16%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-adolfo-menezes-55111/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/adolfo-menezes-55111.jpg;Adolfo Emanuel Monteiro de Menezes;Casado(a),  Deputado,       nascido  em 04/11/1958  em Campo Formoso-BA,  candidato  a Deputado Estadual  na Bahia  pelo PSD - Partido Social Democrático;Adolfo Menezes;Masculino;63 anos;04/11/1958;Deputado;Superior completo;Casado(a);Branca;Campo Formoso-BA;55111;Deferido;BAHIA;PSD - Partido Social Democrático;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
ivana-bastos-55456;Eleita;76605;1,10%;https://especiais.gazetadopovo.com.br/eleicoes/2018/resultados/municipios-bahia/deputado-estadual-candidato-ivana-bastos-55456/;https://cdn-eleicoes.gazetadopovo.com.br/fotos/bahia/deputado-estadual/ivana-bastos-55456.jpg;Ivana Teixeira Bastos;Casado(a),  Deputado,       nascida  em 24/12/1964  em Caitité-BA,  candidata  a Deputada Estadual  na Bahia  pelo PSD - Partido Social Democrático;Ivana Bastos;Feminino;57 anos;24/12/1964;Deputado;Superior completo;Casado(a);Branca;Caitité-BA;55456;Deferido;BAHIA;PSD - Partido Social Democrático;FORÇA DO TRABALHO PELA BAHIA;PT / PMB / PSD / PR / PDT / PODE / PRP / PP / PSB / AVANTE
